C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addr_Accessories\S4098-0035\S4098-0035.docx,Sensor Guard for TrueAlarm Sensors 4098-9714 (photo)  4098-9754 (photo and heat)  and 4098-9733 (heat)  has optional adapter for surface mounted electrical box  UL  ULC  & CSFM listed  , TrueAlarm Addressable Peripheral Accessories  4098-9846  4098-9847  4098-9823
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0036\S4098-0036.docx,VLC-600 TrueAlarm LaserCOMPACT Smoke Sensor with 4100ES/4100U/4010ES IDNet and MAPNET II Communications, TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    VLC-600
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4098-0037\S4098-0037.docx,E-Series Electronic Heat Detectors for Extended Exposure to High Humidity , International Products - Smoke and Heat Detectors 4098-9612E  4098-9613E  4098-9614E  4098-9615E  4098-9788E  4098-9684E  4098-9683E  4098-9682E
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4098-0038\S4098-0038.docx,Addressable Initiating Peripherals  E-Series Analog Heat Sensor 4098-9733E and Bases for Extended Exposure to High Humidity , International Products - Smoke and Heat Detectors 4098-9733E  4098-9792E  4098-9793E  4098-9789E  4098-9791E  4098-9794E  4098-9780E
C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0040\S4098-0040.docx,Fire Fighting Enterprises Reflective Beam smoke detectors models 50RU and 100RU  and accessories   , Photoelectric Smoke Detectors  Beam and Duct Detectors     50RU  100RU  LLC
C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0042\S4098-0042.docx,Reflective Beam Smoke Detectors  Fire Fighting Enterprises (FFE) Auto-Aligning Fireray 5000 and accessories   , Photoelectric Smoke Detectors  Beam and Duct Detectors     Fireray 5000 Series
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4098-0043\S4098-0043.docx,Dust boot for Simplex TrueAlarm sensor and detector bases,International Products - Smoke and Heat Detectors 4098-9848
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4098-0045\S4098-0045.docx,MX Technology Addressable Devices - Addressable Smoke Sensor  Multi-Sensor (Smoke & Heat)  Isolator Bases  Sounder Bases  and Accessories, International Products - MX Technology Addressable Devices  4098-5201  4098-5202  4098-5203  4098-5207  4098-5208  4098-5209  4098-5210  4098-5211  4098-5212  4098-5215
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4098-0046\S4098-0046.docx,MX Technology Addressable Duct Sensor Housing and sampling tubes , International Products - MX Technology Addressable Devices  4098-5214  920080  920081  920082
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0048\S4098-0048.docx,TrueAlarm¸ Analog Sensing - Air Aspiration Addressable Duct Smoke Detection with TrueAlarm Photoelectric Sensor(s), TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-XAD-100  4098-XAD-110  4098-XAD-200  4098-XAD-210
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_Beam_Detector\S4098-0049\S4098-0049.docx,Addressable Detection Products  Auto-Aligning Reflective Beam Smoke Detectors with IDNet Communications , IDNet Addressable Input/Output Devices and Beam Detectors  4098-9019  4098-9020
C:\SVN\TC\Simplex\non-dita\Datasheets\Photoelectric_Beam_Duct_Detectors\S4098-0050\S4098-0050.docx,End-to-End Infrared Optical Beam Smoke Detector  Fire Fighting Enterprises FIRERAY 3000   ,Photoelectric Smoke Detectors  Beam and Duct Detectors     FFE FIRERAY 3000
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0052\S4098-0052.docx,Multi-Point Peripherals  TrueAlarm CO Sensor Bases for Smoke  Heat  and Photo/Heat Sensors using IDNet Communications , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9770  4098-9771  4098-9747
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0053\S4098-0053.docx,TrueAlarm 4098-9773 CO Sensor Base with 520 Hz Sounder  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9773
C:\SVN\TC\Simplex\non-dita\Datasheets\TrueAlarm_Addressable\S4098-0054\S4098-0054.docx,TrueAlarm 4098-9772 Sensor Base with 520 Hz Sounder  , TrueAlarm Addressable Analog Smoke and Heat Sensing Devices    4098-9772
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4099-0003\S4099-0003.docx,MX Technology Addressable Devices - Addressable Manual Stations  Single and Dual Action, International Products - MX Technology Addressable Devices  4099-5201  4099-5202 4099-5201  4099-5202
C:\SVN\TC\Simplex\non-dita\Datasheets\International\S4099-0004\S4099-0004.docx,MX Technology Addressable Devices - Addressable Callpoints  Available for Indoor or Outdoor, International Products - MX Technology Addressable Devices  4099-5203  4099-5204
C:\SVN\TC\Simplex\non-dita\Datasheets\IDNet_MAPNET_II\S4099-0005\S4099-0005.docx,IDNet or MAPNET II Communicating Devices  Addressable Manual Stations with LED  ,IDNet/MAPNET II Addressable Input/Output Devices    4099-9004  4099-9005  4099-9006  4099-9021  4099-9805
C:\SVN\TC\Simplex\non-dita\Datasheets\Releasing_Systems\S4099-0006\S4099-0006.docx,Releasing System Peripherals  IDNet or MAPNET II Communicating Devices  Addressable Manual Stations for Releasing Applications  with Status LED  ,Releasing Systems and Accessories     4099-9015  4099-9802
C:\SVN\TC\Simplex\non-dita\Datasheets\LED_Annunciators\S4100-0005\S4100-0005.docx,4100 Series Graphic Annunciator Modules  LED/Switch Modules and 24 Point I/O Graphic Module, LED Annunciators     4100-7401  4100-7402  4100-74003  4100-7404
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panel_Accessories\S4100-0026\S4100-0026.docx,High Level Interface to VESDA Air Aspiration Detectors for 4100ES/4100U/4100/4010ES Series Fire Alarm Control Panels, Multi-Use Addressable Control Panel Accessories    4100-0154  4100-6048  VSR-13D01-S04
C:\SVN\TC\Simplex\non-dita\Datasheets\Network\S4100-0029\S4100-0029.docx,TCP/IP Physical Bridge Modules for 4100ES  4100U 4100  and 4010ES Fire Alarm Control Panels  , Network Reference   4100-9849  4100-9850  4010-9905  4010-9906
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4100-0031\S4100-0031.docx,4100ES Basic Panel Modules and Accessories     , Addressable Fire Alarm Control Panels      4100ES Products
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4100-0032\S4100-0032.docx,4100ES LED/Switch Modules and Controllers  and Local Printer (panel mounted) , Addressable Fire Alarm Control Panels      4100ES Products
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4100-0033\S4100-0033.docx,4100ES Dual Port RS-232 Module with Master Clock Interface , Addressable Fire Alarm Control Panels      4100-9816
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4100-0034\S4100-0034.docx,4100ES Emergency Voice/Alarm Communications Equipment  , Addressable Fire Alarm Control Panels      4100ES Products
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4100-0035\S4100-0035.docx,4100ES MINIPLEX Transponders    , Addressable Fire Alarm Control Panels      4100ES Products
C:\SVN\TC\Simplex\non-dita\Datasheets\Network\S4100-0036\S4100-0036.docx,4100ES Network Display Unit  NDU   , Network Annunciators   4100ES Products
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4100-0037\S4100-0037.docx,4100ES Cabinet Reference  Boxes  Doors  Retainers  Rack Mounting  and Accessories , Addressable Fire Alarm Control Panels      4100ES Products
C:\SVN\TC\Simplex\non-dita\Datasheets\Addressable_Panels\S4100-0038\S4100-0038.docx,4100ES Remote Annunciator Panels  , Addressable Fire Alarm Control Panels      4100ES Products
